;Frame time
453;1700059124.0832999
454;1700059124.1143925
455;1700059124.144443
456;1700059124.1750717
457;1700059124.2062824
458;1700059124.2371945
459;1700059124.2695065
460;1700059124.3006723
461;1700059124.3322408
462;1700059124.3632002
463;1700059124.394314
464;1700059124.4250987
465;1700059124.47301
466;1700059124.503255
467;1700059124.5343761
468;1700059124.5664124
469;1700059124.5976183
470;1700059124.6284173
471;1700059124.6595676
472;1700059124.690524
473;1700059124.722296
474;1700059124.7533705
475;1700059124.7855325
476;1700059124.8163784
477;1700059124.8463511
478;1700059124.8784432
479;1700059124.9095712
480;1700059124.941253
481;1700059124.9721804
482;1700059125.0033035
483;1700059125.0353072
484;1700059125.0662756
485;1700059125.0976064
486;1700059125.129504
487;1700059125.1603212
488;1700059125.1914587
489;1700059125.2235174
490;1700059125.254325
491;1700059125.2847185
492;1700059125.316467
493;1700059125.3487356
494;1700059125.3792465
495;1700059125.4112341
496;1700059125.442283
497;1700059125.4735382
498;1700059125.5042465
499;1700059125.535278
500;1700059125.5664291
501;1700059125.5976412
502;1700059125.6290293
503;1700059125.659919
504;1700059125.6910987
505;1700059125.7387996
506;1700059125.769959
507;1700059125.8003263
508;1700059125.8312874
509;1700059125.8635433
510;1700059125.8943853
511;1700059125.9251082
512;1700059125.956397
513;1700059125.9877477
514;1700059126.0186806
515;1700059126.050391
516;1700059126.0820749
517;1700059126.113398
518;1700059126.144311
519;1700059126.175547
520;1700059126.2075539
521;1700059126.239122
522;1700059126.2696617
523;1700059126.3004036
524;1700059126.3306363
525;1700059126.3622584
526;1700059126.394209
527;1700059126.4254403
528;1700059126.457596
529;1700059126.4883122
530;1700059126.5191634
531;1700059126.5509453
532;1700059126.5829597
533;1700059126.6134112
534;1700059126.6442788
535;1700059126.6755579
536;1700059126.7063606
537;1700059126.7373197
538;1700059126.7687306
539;1700059126.8003614
540;1700059126.8309925
541;1700059126.8619866
542;1700059126.8933918
543;1700059126.9239597
544;1700059126.9552584
545;1700059126.986475
546;1700059127.0175068
547;1700059127.048934
548;1700059127.0795624
549;1700059127.1103776
550;1700059127.1410158
551;1700059127.1722388
552;1700059127.2032506
553;1700059127.2355034
554;1700059127.2674835
